wavelength (um),flux outside spot,flux inside spot
2.41,0.000702280969034914,0.0018969420624615676
2.5900000000000003,0.0005890579105926559,0.0021412122100801694
2.7700000000000005,0.0006520804972420275,0.0024347921169929365
2.9500000000000006,0.0007485581477494722,0.0027436402204044
3.130000000000001,0.0010644095605175678,0.0030252291694433976
3.310000000000001,0.0014782737644192523,0.0033021656736880404
3.490000000000001,0.001989295033112829,0.003549532907877466
3.6700000000000013,0.0023685769010597826,0.003802506064983432
3.8500000000000014,0.0029104579653484383,0.004006463478250717
4.030000000000001,0.003230799206441344,0.004149766002725488
