#Time (days),Flux (ppm),Error (ppm),Flux w/ Extra (ppm)
-0.041666666666666664,1001215.2198378426,13.867049463594418,1001215.2198378426
-0.0385067449074074,1001195.1256753551,13.867049463594418,1001224.8267665335
-0.03534682314814814,1001154.738257255,13.867049463594418,1001163.1027892478
-0.032186901388888876,1000960.1126018311,13.867049463594418,1000932.7671613267
-0.029026979629629614,1000648.1493707944,13.867049463594418,1000632.0837139314
-0.02586705787037035,1000299.2411474189,13.867049463594418,1000322.0621177612
-0.02270713611111109,1000097.2481434621,13.867049463594418,1000119.740727046
-0.019547214351851826,999997.9011221059,13.867049463594418,999981.4145969815
-0.016387292592592563,999998.5686590766,13.867049463594418,999971.4330788425
-0.0132273708333333,1000005.693789736,13.867049463594418,1000014.5382916215
-0.010067449074074038,1000001.9974593262,13.867049463594418,1000031.6238611445
-0.006907527314814775,1000020.1664826546,13.867049463594418,1000019.6654784658
-0.0037476055555555124,1000010.5533477783,13.867049463594418,999980.7858512931
-0.0005876837962962497,1000001.6872734722,13.867049463594418,999993.8050443584
0.002572237962963013,1000006.1550734035,13.867049463594418,1000033.7027471488
0.005732159722222276,1000004.6270784024,13.867049463594418,1000020.2673860657
0.008892081481481538,1000020.71846841,13.867049463594418,999997.5754763997
0.012052003240740801,999997.1550602085,13.867049463594418,999974.9971368822
0.015211925000000064,1000004.3413253042,13.867049463594418,1000021.2441203655
0.018371846759259326,999988.1562121365,13.867049463594418,1000015.0743636042
0.02153176851851859,999972.2760446677,13.867049463594418,999962.9540397458
0.02469169027777785,1000113.7641018021,13.867049463594418,1000084.2206525656
0.027851612037037114,1000326.3629181003,13.867049463594418,1000327.3647867407
0.031011533796296377,1000597.5395017808,13.867049463594418,1000627.3651009978
0.03417145555555564,1000948.4592974212,13.867049463594418,1000955.8570251913
0.0373313773148149,1001108.3167136322,13.867049463594418,1001080.5744900809
0.040491299074074165,1001141.2163727303,13.867049463594418,1001126.0057765694
